2016-01-06 00:56:11,006 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /musician-app-server/src/test/resources
2016-01-06 00:56:11,084 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-core/src/main/java
2016-01-06 00:56:11,084 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-core/src/test/java
2016-01-06 00:56:11,127 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-repository/src/main/java
2016-01-06 00:56:11,127 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-repository/src/test/java
2016-01-06 00:56:11,173 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-service/src/main/java
2016-01-06 00:56:11,173 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-service/src/test/java
2016-01-06 00:56:11,173 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /musician-service/src/test/resources
2016-01-06 00:56:11,524 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2016-01-06 00:56:13,098 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:56:13,099 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/src/main/resources
2016-01-06 00:56:13,101 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:56:13,102 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/src/test/resources
2016-01-06 00:56:13,496 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:56:13,497 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/src/main/resources
2016-01-06 00:56:13,498 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
